Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,analysis_set
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,4/105,1.146919517943213e-05,0.000263791489126939,0,0,34.21782178217822,389.2566640939646,CDKN1A;CDKN1B;MAPK1;MAP2K6,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,4/200,0.00014220084233688404,0.0010902064579161,0,0,17.54835847382431,155.44809947118517,CDKN1A;ZBTB10;FOSB;ETS2,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Hypoxia,4/200,0.00014220084233688404,0.0010902064579161,0,0,17.54835847382431,155.44809947118517,CDKN1C;CDKN1A;CDKN1B;HOXB9,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,G2-M Checkpoint,3/200,0.0024141059150854,0.0111048872093928,0,0,12.548223350253808,75.62094298941223,PLK4;STIL;CDKN1B,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,E2F Targets,3/200,0.0024141059150854,0.0111048872093928,0,0,12.548223350253808,75.62094298941223,PLK4;CDKN1A;CDKN1B,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,UV Response Up,2/158,0.0191264443639075,0.0650996642091988,0,0,10.162564102564104,40.21004848102547,CDKN1C;FOSB,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Apoptosis,2/161,0.0198129412810605,0.0650996642091988,0,0,9.969308176100627,39.09384401662965,CDKN1A;CDKN1B,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Estrogen Response Late,2/200,0.0296442334084981,0.0852271710494323,0,0,7.98989898989899,28.11236101024157,PLK4;STIL,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Hedgehog Signaling,1/36,0.0475095732087328,0.1214133537556505,0,0,21.90989010989011,66.75558005419848,ETS2,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,TGF-beta Signaling,1/54,0.0704417901623858,0.1577907697389409,0,0,14.455732946298983,38.35060533159885,CDKN1C,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Myc Targets V2,1/58,0.0754651507447108,0.1577907697389409,0,0,13.43859649122807,34.726466325654,PLK4,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Protein Secretion,1/96,0.1219013753793836,0.2240848286896163,0,0,8.047773279352226,16.936884596393483,MAPK1,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Androgen Response,1/100,0.1266566423028266,0.2240848286896163,0,0,7.721056721056721,15.953830010816358,ZBTB10,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,UV Response Dn,1/144,0.1773546654788057,0.2377920775242915,0,0,5.3335126412049485,9.22486368618758,CDKN1B,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,1/199,0.2367513379608439,0.2377920775242915,0,0,3.8412975912975913,5.534329897012579,CDKN1C,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Xenobiotic Metabolism,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,ETS2,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,p53 Pathway,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,CDKN1A,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Estrogen Response Early,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,CBFA2T3,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Myogenesis,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,CDKN1A,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,KRAS Signaling Up,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,PRDM1,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Interferon Gamma Response,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,CDKN1A,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,mTORC1 Signaling,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,CDKN1A,MSigDB_Hallmark_2020,ifn_hybrid_sender
MSigDB_Hallmark_2020,Inflammatory Response,1/200,0.2377920775242915,0.2377920775242915,0,0,3.821801314263626,5.489477227235043,CDKN1A,MSigDB_Hallmark_2020,ifn_hybrid_sender
Reactome_2022,Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,3/17,1.4731568722521896e-06,0.0002857616033778565,0,0,178.20535714285714,2392.9598779783223,CDKN1C;CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Cellular Senescence R-HSA-2559583,5/165,2.506680731384706e-06,0.0002857616033778565,0,0,28.14346590909091,362.9536461647033,CDKN1A;CDKN1B;MAPK1;ETS2;MAP2K6,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,3/36,1.520626668798976e-05,0.0010222447654398,0,0,75.53030303030303,837.9182972858675,CDKN1C;CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Diseases Of Mitotic Cell Cycle R-HSA-9675126,3/38,1.7934118691927012e-05,0.0010222447654398,0,0,71.20714285714286,778.2090207052221,CDKN1C;CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Cyclin D Associated Events In G1 R-HSA-69231,3/47,3.41937023177214e-05,0.001559232825688,0,0,56.61647727272727,582.213793090764,CDKN1C;CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,ESR-mediated Signaling R-HSA-8939211,4/188,0.00011203936473697428,0.004257495860005,0,0,18.704158790170133,170.14537829161725,FOXA1;CDKN1B;MAPK1;FOSB,Reactome_2022,ifn_hybrid_sender
Reactome_2022,AKT Phosphorylates Targets In Cytosol R-HSA-198323,2/14,0.0001581177517279993,0.0044207697880012,0,0,133.07333333333332,1164.680507447672,CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,2/14,0.0001581177517279993,0.0044207697880012,0,0,133.07333333333332,1164.680507447672,CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,3/81,0.00017450407057899528,0.0044207697880012,0,0,31.88301282051282,275.90164379563345,CDKN1A;CDKN1B;MAPK1,Reactome_2022,ifn_hybrid_sender
Reactome_2022,FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,2/17,0.0002357187816910066,0.0053743882225549,0,0,106.44266666666668,889.1018706375095,CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,4/260,0.0003870062791203877,0.0080215846944953,0,0,13.394701086956522,105.24309924651575,FOXA1;CDKN1B;MAPK1;FOSB,Reactome_2022,ifn_hybrid_sender
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,4/268,0.0004339763919117988,0.0082455514463241,0,0,12.983530961791832,100.52525361952496,CDKN1A;CDKN1B;SNAI1;MAPK1,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,2/24,0.0004755925151574023,0.0083411610350682,0,0,72.5490909090909,555.0694040425329,CDKN1B;MAPK1,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,2/26,0.0005590963824391395,0.0091052839425802,0,0,66.49666666666667,498.0060832764494,CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",5/523,0.0006012935487175081,0.0091396619405061,0,0,8.535889785889786,63.30580611355925,CDKN1C;PLK4;CDKN1A;CDKN1B;MAPK1,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,4/306,0.0007142201830198358,0.0101776376080326,0,0,11.327958537287648,82.06334824875711,CDKN1A;CDKN1B;SNAI1;MAPK1,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Oncogene Induced Senescence R-HSA-2559585,2/33,0.000903043260938429,0.0121114037349389,0,0,51.46322580645161,360.7438374913855,MAPK1;ETS2,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Mitotic G1 Phase And G1/S Transition R-HSA-453279,3/147,0.0009997586830523557,0.0126636099853298,0,0,17.21267361111111,118.90509121366688,CDKN1C;CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,4/354,0.0012272278790211,0.0147267345482536,0,0,9.75055900621118,65.35797176491633,CDKN1A;CDKN1B;PRDM1;MAP2K6,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Cell Cycle R-HSA-1640170,5/654,0.0016349891404674,0.0186388762013293,0,0,6.767054209273008,43.41822587498803,CDKN1C;PLK4;CDKN1A;CDKN1B;MAPK1,Reactome_2022,ifn_hybrid_sender
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,2/49,0.0019847485989451,0.0215486990742616,0,0,33.91659574468085,211.03797957730015,CDKN1A;CDKN1B,Reactome_2022,ifn_hybrid_sender
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,5/702,0.0022308255933891,0.0231194652405785,0,0,6.285378896569714,38.374648862647135,CDKN1A;CDKN1B;MAPK1;PTPN12;MAP2K6,Reactome_2022,ifn_hybrid_sender
