context,cell_type,subset,n,spearman,empirical_p,null_abs_rho_95
ifn,B cells,all,132,0.7038136632351175,0.0004997501249375312,0.14231371280386945
ifn,B cells,communication_like,31,0.8419354838709677,0.0004997501249375312,0.3008266129032259
ifn,B cells,ligand_like_strict,24,0.8539130434782608,0.0004997501249375312,0.33569565217391295
ifn,CD14+ Monocytes,all,132,0.7198061079137815,0.0004997501249375312,0.14590979530714357
ifn,CD14+ Monocytes,communication_like,31,0.8838709677419355,0.0004997501249375312,0.30282258064516127
ifn,CD14+ Monocytes,ligand_like_strict,24,0.88,0.0004997501249375312,0.33134782608695645
ifn,CD4 T cells,all,132,0.6957991787240481,0.0004997501249375312,0.15017009908532605
ifn,CD4 T cells,communication_like,31,0.828225806451613,0.0004997501249375312,0.2963911290322581
ifn,CD4 T cells,ligand_like_strict,24,0.8182608695652173,0.0004997501249375312,0.3678695652173912
ifn,CD8 T cells,all,132,0.7007404006198701,0.0004997501249375312,0.14507338784156779
ifn,CD8 T cells,communication_like,31,0.8399193548387098,0.0004997501249375312,0.297258064516129
ifn,CD8 T cells,ligand_like_strict,24,0.8252173913043478,0.0004997501249375312,0.34708695652173893
ifn,Dendritic cells,all,132,0.7361690137905483,0.0004997501249375312,0.150757619238937
ifn,Dendritic cells,communication_like,31,0.9056451612903227,0.0004997501249375312,0.29637096774193555
ifn,Dendritic cells,ligand_like_strict,24,0.9182608695652172,0.0004997501249375312,0.3462173913043477
ifn,FCGR3A+ Monocytes,all,132,0.7352976473105037,0.0004997501249375312,0.14975293890520888
ifn,FCGR3A+ Monocytes,communication_like,31,0.8951612903225808,0.0004997501249375312,0.297983870967742
ifn,FCGR3A+ Monocytes,ligand_like_strict,24,0.8756521739130434,0.0004997501249375312,0.3496086956521739
ifn,NK cells,all,132,0.6959922359681298,0.0004997501249375312,0.14307394092448328
ifn,NK cells,communication_like,31,0.8500000000000001,0.0004997501249375312,0.294375
ifn,NK cells,ligand_like_strict,24,0.8426086956521738,0.0004997501249375312,0.34521739130434775
lps,B cells,all,132,0.7238133501693162,0.0004997501249375312,0.14375694614746434
lps,B cells,communication_like,31,0.8903225806451613,0.0004997501249375312,0.29435483870967744
lps,B cells,ligand_like_strict,24,0.8652173913043478,0.0004997501249375312,0.34708695652173893
lps,CD14+ Monocytes,all,132,0.772865543456142,0.0004997501249375312,0.15050090528194182
lps,CD14+ Monocytes,communication_like,31,0.9379032258064517,0.0004997501249375312,0.2987903225806452
lps,CD14+ Monocytes,ligand_like_strict,24,0.9426086956521739,0.0004997501249375312,0.35221739130434776
lps,CD4 T cells,all,132,0.7151414274756981,0.0004997501249375312,0.1400439857450705
lps,CD4 T cells,communication_like,31,0.8766129032258065,0.0004997501249375312,0.3072782258064516
lps,CD4 T cells,ligand_like_strict,24,0.8608695652173911,0.0004997501249375312,0.35134782608695647
lps,CD8 T cells,all,132,0.7204948526764515,0.0004997501249375312,0.1388000709615816
lps,CD8 T cells,communication_like,31,0.8758064516129034,0.0004997501249375312,0.2915725806451613
lps,CD8 T cells,ligand_like_strict,24,0.8652173913043478,0.0004997501249375312,0.35047826086956513
lps,Dendritic cells,all,132,0.7593254475536515,0.0004997501249375312,0.13985197205365946
lps,Dendritic cells,communication_like,31,0.9483870967741937,0.0004997501249375312,0.29235887096774194
lps,Dendritic cells,ligand_like_strict,24,0.9530434782608694,0.0004997501249375312,0.3289130434782606
lps,FCGR3A+ Monocytes,all,132,0.7621012976577458,0.0004997501249375312,0.1422531867489682
lps,FCGR3A+ Monocytes,communication_like,31,0.9427419354838712,0.0004997501249375312,0.30175403225806446
lps,FCGR3A+ Monocytes,ligand_like_strict,24,0.9617391304347825,0.0004997501249375312,0.34182608695652167
lps,NK cells,all,132,0.7340088597621742,0.0004997501249375312,0.14608746014933233
lps,NK cells,communication_like,31,0.9129032258064517,0.0004997501249375312,0.2911693548387097
lps,NK cells,ligand_like_strict,24,0.9034782608695651,0.0004997501249375312,0.33669565217391284
