gene,description,summary_first_sentence,communication_roles,is_strict_ligand,is_strict_receptor,immune_pubmed_count,immune_pmids_top3,ifn_pubmed_count,ifn_pmids_top3,lps_pubmed_count,lps_pmids_top3,in_ifn_hybrid,in_lps_hybrid,in_ifn_contrastive,in_lps_contrastive,in_comm_hybrid
SNAI1,snail family transcriptional repressor 1,The Drosophila embryonic protein snail is a zinc finger transcriptional repressor which downregulates the expression of ectodermal genes within the mesoderm,,False,False,82,42013562;41957879;41918766,6,40578952;40045362;37199012,1,39521062,True,True,True,True,False
FOXL2,forkhead box L2,This gene encodes a forkhead transcription factor,,False,False,23,41291968;41042551;40663883,6,35772751;32098259;29281695,1,38396656,True,True,True,True,False
DLX2,distal-less homeobox 2,Many vertebrate homeo box-containing genes have been identified on the basis of their sequence similarity with Drosophila developmental genes,,False,False,13,41761000;41340721;41244921,2,36317140;18973839,1,34752991,True,True,True,True,False
PTPN12,protein tyrosine phosphatase non-receptor type 12,The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family,,False,False,12,41887696;41020869;37563735,0,,0,,True,True,True,True,True
ZBTB10,zinc finger and BTB domain containing 10,Enables telomeric DNA binding activity,,False,False,4,41889912;40481392;39385609,0,,0,,True,True,True,True,False
PRDM1,PR/SET domain 1,This gene encodes a protein that acts as a repressor of beta-interferon gene expression,,False,False,169,42000415;41991769;41949720,39,42010057;41462339;41278975,13,41494598;39920136;33109608,True,True,True,False,False
FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit","The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2",,False,False,139,42014834;41969488;41956987,13,41323100;40093186;38952087,18,41272900;38304844;32725911,True,True,True,False,False
FOXA1,forkhead box A1,This gene encodes a member of the forkhead class of DNA-binding proteins,,False,False,100,41954652;41904157;41896856,11,41056440;40665667;39986350,10,41389271;39760528;39623394,True,True,True,False,False
CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,This gene encodes a member of the myeloid translocation gene family which interact with DNA-bound transcription factors and recruit a range of corepressors to facilitate transcriptional repression,,False,False,15,41419978;40804206;38798454,0,,0,,True,True,True,False,False
HOXB9,homeobox B9,This gene is a member of the Abd-B homeobox family and encodes a protein with a homeobox DNA-binding domain,,False,False,15,40429746;40240788;40090079,1,40552583,1,39903348,True,True,True,False,False
FOXA3,forkhead box A3,This gene encodes a member of the forkhead class of DNA-binding proteins,,False,False,8,41418787;41140666;37259264,1,32531971,0,,True,True,True,False,False
CDKN1A,cyclin dependent kinase inhibitor 1A,This gene encodes a potent cyclin-dependent kinase inhibitor,,False,False,253,42017404;41993916;41961695,37,41204359;40999477;38880659,17,41993916;41769350;41197720,True,True,False,True,False
STIL,STIL centriolar assembly protein,"This gene encodes a cytoplasmic protein implicated in regulation of the mitotic spindle checkpoint, a regulatory pathway that monitors chromosome segregation during cell division to ensure the proper distribution of chromosomes to daughter cells",,False,False,71,42009739;41972153;41943585,0,,1,2179634,True,True,False,True,False
ETS2,"ETS proto-oncogene 2, transcription factor",This gene encodes a transcription factor which regulates genes involved in development and apoptosis,,False,False,71,41789089;41709311;41617683,36,41903466;41282138;40983701,21,41769350;41460311;41315591,True,True,False,True,True
CDKN1B,cyclin dependent kinase inhibitor 1B,"This gene encodes a cyclin-dependent kinase inhibitor, which shares a limited similarity with CDK inhibitor CDKN1A/p21",,False,False,44,41990104;41571094;41217726,7,39740007;38880659;33982894,0,,True,True,False,True,False
PLK4,polo like kinase 4,This gene encodes a member of the polo family of serine/threonine protein kinases,,False,False,20,41555381;40662137;40417760,1,35302667,1,33174055,True,True,False,True,False
