receiver_subtype,sender_metric,receiver_metric,spearman_rho,pvalue,n_donors
CD4_T,sender_score_all,receiver_ifn_score,-0.18238283455674761,0.41658263454025113,22
CD4_T,sender_score_all,receiver_lps_score,0.040090344438170535,0.8594025608936708,22
CD4_T,sender_score_comm,receiver_ifn_score,-0.29531338226990406,0.18211318520040848,22
CD4_T,sender_score_comm,receiver_lps_score,0.003952569169960475,0.9860720320762009,22
CD4_T,sender_score_tgfbr2_axis,receiver_ifn_score,-0.639751552795031,0.0013448122724821902,22
CD4_T,sender_score_tgfbr2_axis,receiver_lps_score,-0.4409937888198759,0.039939999044303835,22
CD8_T,sender_score_all,receiver_ifn_score,-0.20948616600790515,0.349447352439489,22
CD8_T,sender_score_all,receiver_lps_score,-0.11349520045172222,0.6150373834928407,22
CD8_T,sender_score_comm,receiver_ifn_score,-0.13721061547148505,0.5425912609634094,22
CD8_T,sender_score_comm,receiver_lps_score,-0.11575381140598533,0.6079713857022657,22
CD8_T,sender_score_tgfbr2_axis,receiver_ifn_score,-0.4240542066629024,0.04920155991351048,22
CD8_T,sender_score_tgfbr2_axis,receiver_lps_score,-0.4376058723884812,0.041673452037258134,22
NK,sender_score_all,receiver_ifn_score,-0.1101072840203275,0.6256982903977764,22
NK,sender_score_all,receiver_lps_score,0.18238283455674761,0.41658263454025113,22
NK,sender_score_comm,receiver_ifn_score,0.05251270468661773,0.8164691262307053,22
NK,sender_score_comm,receiver_lps_score,0.10559006211180126,0.6400256218947228,22
NK,sender_score_tgfbr2_axis,receiver_ifn_score,-0.6126482213438735,0.0024363201962101905,22
NK,sender_score_tgfbr2_axis,receiver_lps_score,-0.43083003952569177,0.04531612548785275,22
